"zip","price","sq_ft","lot_size","beds","baths","age","daysOnMarket"
"90002","350000","2440","3251","6","4","2006","1723"
"90003","352500","1441","5400","2","2","1948","31"
"90036","1595000","1402","4060","2","2","1924","78"
"90026","905000","1224","2939","2","1","1922","36"
"90027","1405000","2883","6107","8","6","1931","66"
"90059","385000","1026","6870","3","1","1922","977"
"90046","1550000","1437","6001","2","2","1924",""
"90032","365000","733","1.37","2","1","1983","44"
"90019","1250000","2635","8215","4","2","1917","500"
"90001","805000","3454","5097","9","6","2015",""
"90002","352000","880","3677","2","1","1956","79"
"90066","3540000","4150","6699","5","6","2019","86"
"90068","615000","1002","13.74","2","2","1975","22"
"90042","605000","1429","5.34","2","3","1979","48"
"90022","165000","1634","4666","4","2","1923",""
"90035","730000","1347","6547","2","2","1972","200"
"90013","818000","1290","2.09","2","2","2007","64"
"90036","1677000","1807","5499","3","3","1925","34"
"90048","1740000","1737","6180","3","2","1928","74"
"90067","1150000","1773","13.53","3","3","1988","50"
"90003","422500","1584","8108","3","3","1945","55"
"90008","1062425","1861","0.26","2","2","1955","177"
"90061","730000","5122","6005","12","6","1960",""
"90007","617000","1277","6097","3","2","1898","21"
"90047","510000","1421","6554","2","1","1930",""
"90069","875000","822","1943","2","1","1929",""
"90062","481000","1428","6257","3","1","1922","49"
"90008","689000","1483","6500","3","2","1939","150"
"90031","795000","3600","0","0","0","1931","198"
"90023","1500000","4434","7318","11","6","1965","1152"
"90047","600000","1473","4520","3","2","1925","36"
"90043","470000","1062","4801","2","1","1923","118"
"90047","600000","1714","5545","4","2","1947","45"
"90042","655000","928","3185","2","1","1926","141"
"90062","635000","1963","6380","0","0","1939","42"
"90063","850800","3774","6240","0","0","1970","330"
"90059","550000","1728","6846","0","0","1944","40"
"90022","735000","2706","5863","0","0","1971","175"
"90064","1175","1101","5899","3","2","1949","48"
"90019","989000","1767","0","3","3","2019","34"
"90019","1170000","4228","6075","8","4","1925","72"
"90011","350000","914","5400","3","1","1923",""
"90015","1160000","1170","1.21","2","2","2008","39"
"90039","1005000","906","3100","2","1","1926","35"
"90063","400000","916","7504","3","1","1912","125"
"90035","1400000","2322","7997","3","2","1947","2206"
"90037","675000","2370","6664","3","3","1920","379"
"90039","1020000","1098","5199","3","3","1924","54"
"90005","10925000","31549","0.31","38","47","1988","3292"
"90002","310000","1235","3363","4","2","1953","37"
"90001","750000","3337","5738","8","4","1929",""
"90019","1135000","2058","0","3","3","2019","89"
"90065","840000","1338","5114","3","2","1941","39"
"90049","1000000","1585","7875","2","3","2002","70"
"90065","145000","0","3410","1","1","1923","66"
"90027","6950000","4026","1.45","3","4.5","1922","198"
"90068","425000","685","13.74","1","1","1975","66"
"90048","4120000","5104","6251","5","7.5","2019","83"
"90057","612000","1852","3280","4","2","1915","183"
"90006","465000","880","0.31","2","2","2009","239"
"90069","492000","818","0.36","1","1","1964","77"
"90035","849000","1920","8501","3","3","2006","79"
"90019","959000","1767","0","3","3","2019","56"
"90020","455000","833","0.34","2","2","1964","105"
"90020","385000","566","1.69","1","1","1973","27"
"90068","3995000","5220","0.28","5","7.5","2019","69"
"90025","953100","1397","6752","2","3","2006","27"
"90094","950000","1640","2.11","2","3","2006","77"
"90047","557000","1203","5624","2","2","1937","111"
"90039","485000","941","1.6","1","1.5","1979","87"
"90006","1215180","3290","9100","4","3","1902","86"
"90068","620000","939","0.62","2","2","1961","33"
